Date,VNQ,IHI,VHT,XLI,XLK,IYE,XLY,XLP,New Covid19 Cases
2022/1/3,113.75,65.35,263.05,104.13,174.74,30.54,209.50,76.18,910191
2022/1/4,113.61,64.44,258.83,106.23,172.89,31.48,208.23,76.69,736127
2022/1/5,110.36,63.29,255.67,105.22,167.57,31.32,202.61,76.62,723169
2022/1/6,110.46,62.96,252.45,105.70,166.73,31.98,202.08,76.42,814497
2022/1/7,109.73,62.12,250.90,105.67,165.19,32.35,198.71,76.50,867766
2022/1/10,109.09,62.43,253.59,104.48,165.22,32.24,197.50,75.89,1263216
2022/1/11,109.26,63.06,255.68,105.11,167.21,33.33,199.40,75.80,819069
2022/1/12,109.39,63.20,254.23,105.44,167.99,33.43,200.72,75.83,867068
2022/1/13,109.17,61.89,249.83,105.67,163.64,33.19,196.68,75.97,904424
2022/1/14,108.19,61.39,249.65,105.04,165.03,33.94,195.77,76.11,851777
2022/1/18,107.05,60.23,244.93,103.83,161.06,33.98,192.06,75.01,863825
2022/1/19,105.61,60.22,243.89,102.67,158.81,33.69,188.59,75.49,787987
2022/1/20,104.25,59.78,242.44,101.36,156.76,33.33,185.16,74.99,779252
2022/1/21,103.99,59.13,239.88,100.42,153.65,32.66,179.73,75.05,778156
2022/1/24,104.19,58.94,239.60,101.00,154.44,32.83,181.89,74.81,1012068
2022/1/25,103.78,57.82,237.36,100.01,150.87,34.06,178.81,73.98,499991
2022/1/26,102.16,57.11,236.07,99.13,151.75,33.98,177.94,73.41,548449
2022/1/27,100.47,56.34,235.37,98.25,150.71,34.30,173.63,73.91,573021
2022/1/28,103.72,57.78,240.76,98.94,157.30,34.24,177.42,74.78,526290
2022/1/31,104.99,58.94,243.81,99.97,161.25,34.49,184.24,75.06,575013
2022/2/1,104.62,59.35,244.74,101.35,161.67,35.70,185.36,74.99,299659
2022/2/2,105.95,60.04,247.02,102.05,162.98,35.82,184.25,75.89,306916
2022/2/3,104.82,59.78,245.35,100.42,158.26,35.39,178.61,75.91,352233
2022/2/4,103.79,59.84,244.90,99.34,158.89,35.92,183.69,74.98,268285
2022/2/7,103.64,59.35,244.74,99.42,157.84,36.36,183.31,75.12,295389
